SKB                CPU PROCESS          NETNS      MARK/x        IFACE       PROTO  MTU   LEN   TUPLE FUNC
0xffff8bf31b90a4e8 3   <empty>:20315    4026533114 0            eth0:23      0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) veth_xmit[veth]
0xffff8bf31b90a4e8 3   <empty>:20315    4026533114 0            eth0:23      0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) skb_clone_tx_timestamp
0xffff8bf31b90a4e8 3   <empty>:20315    4026533114 0            eth0:23      0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) __dev_forward_skb
0xffff8bf31b90a4e8 3   <empty>:20315    4026533114 0            eth0:23      0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) __dev_forward_skb2
0xffff8bf31b90a4e8 3   <empty>:20315    4026533114 0            eth0:23      0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) skb_scrub_packet
0xffff8bf31b90a4e8 3   <empty>:20315    4026533114 0            eth0:23      0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) eth_type_trans
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  60    10.0.1.199:51998->10.111.168.100:80(tcp) __netif_rx
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  60    10.0.1.199:51998->10.111.168.100:80(tcp) netif_rx_internal
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  60    10.0.1.199:51998->10.111.168.100:80(tcp) enqueue_to_backlog
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  60    10.0.1.199:51998->10.111.168.100:80(tcp) __netif_receive_skb
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  60    10.0.1.199:51998->10.111.168.100:80(tcp) __netif_receive_skb_one_core
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.111.168.100:80(tcp) skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     inet_proto_csum_replace_by_diff
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 0        ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_ensure_writable
0xffff8bf31b90a4e8 3   <empty>:20315    4026531840 81600f00 ~de378516811d:24 0x0800 1500  74    10.0.1.199:51998->10.0.1.218:80(tcp)     skb_do_redirect
